0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:34:38 +0530] "GET /Reboot/getAllProduct HTTP/1.1" 200 5088
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:34:38 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:34:40 +0530] "GET /Reboot/details/1 HTTP/1.1" 200 5409
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:34:40 +0530] "GET /Reboot/upload/Hi-Attitude%20Men%20Blue%20Casual%20Shoes.jpg HTTP/1.1" 200 117106
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:34:40 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:03 +0530] "POST /Reboot/getAllProduct HTTP/1.1" 200 5088
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:04 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:14 +0530] "GET /Reboot/Category HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:15 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:30 +0530] "POST /Reboot/addCategory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:30 +0530] "GET /Reboot/Category HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:30 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:46 +0530] "POST /Reboot/addCategory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:46 +0530] "GET /Reboot/Category HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:47 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:48 +0530] "GET /Reboot/getAllCategory HTTP/1.1" 200 4591
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:35:49 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:36:30 +0530] "GET /Reboot/Category HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:36:30 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:36:33 +0530] "GET /Reboot/getAllCategory HTTP/1.1" 500 24952
127.0.0.1 - - [14/Nov/2016:01:37:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:37:16 +0530] "GET /Reboot/ HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:37:16 +0530] "GET /Reboot/images/img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:37:16 +0530] "GET /Reboot/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:37:16 +0530] "GET /Reboot/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:37:16 +0530] "GET /Reboot/images/img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:37:16 +0530] "GET /Reboot/images/img6.jpg HTTP/1.1" 304 -
